# صور فقاعات الكلمات ووصّل الحروف.
# كل سطر: اسم الإيموجي بالإنجليزية | عنوان الصورة | الكلمات التي تخصّها، مفصولة بفواصل.
# الرسوم من Twemoji برخصة CC BY 4.0. الكلمات من 4 إلى 7 حروف حتى تصلح للّعبتين.

# ── سماء وطبيعة ───────────────────────────────────────────────────────────
sun | الشمس | الضوء، الصيف، حرارة، النهار، شروق، أشعة
crescent moon | الهلال | الليل، الشهر، رمضان، سماء، ضياء، هلال
star | النجمة | الليل، السماء، لمعان، ضياء، نجوم، الفلك
cloud | السحابة | المطر، السماء، ظلال، رياح، غيوم، شتاء
cloud with rain | المطر | شتاء، غيوم، مظلة، الماء، برودة، سيول
snowflake | الثلج | شتاء، برودة، جليد، أبيض، جبال، تساقط
snowman | رجل الثلج | شتاء، جزرة، أبيض، برودة، قبعة، تمثال
high voltage | البرق | الرعد، عاصفة، ضياء، سماء، كهرباء، الخطر
rainbow | قوس قزح | ألوان، المطر، سماء، جمال، الشمس، القوس
fire | النار | حرارة، اللهب، دخان، حريق، أحمر، الخطر
droplet | القطرة | الماء، المطر، الندى، العطش، برودة، سقيا
water wave | الموجة | البحر، سباحة، الملح، زرقة، مراكب، شاطئ
volcano | البركان | الحمم، الجبل، دخان، ثوران، حرارة، رماد
mountain | الجبل | القمة، صخور، تسلق، ارتفاع، ثلوج، وادي
desert | الصحراء | رمال، جمال، العطش، حرارة، واحة، قافلة
national park | الغابة | أشجار، أوراق، طيور، خضرة، ظلال، الحطب
deciduous tree | الشجرة | أوراق، الجذع، ظلال، ثمار، أغصان، جذور
palm tree | النخلة | التمر، صحراء، السعف، واحة، الجذع، ظلال
cactus | الصبار | الشوك، صحراء، أخضر، العطش، نبات، حرارة
seedling | البرعم | نبات، أخضر، ربيع، تربة، النمو، سقاية
four leaf clover | البرسيم | أخضر، أوراق، الحظ، مرعى، نبات، ربيع
maple leaf | الورقة | خريف، شجرة، أصفر، تساقط، الغصن، نبات
cherry blossom | زهرة اللوز | ربيع، وردي، أشجار، جمال، رائحة، حديقة
rose | الوردة | العطر، حديقة، أحمر، الشوك، جمال، هدية
sunflower | دوار الشمس | أصفر، بذور، الحقل، الصيف، طويل، زهرة
tulip | التوليب | ربيع، ألوان، حديقة، زهرة، هولندا، هدية
globe showing Europe-Africa | الأرض | كوكب، قارات، محيط، خريطة، دوران، حياة
milky way | المجرة | نجوم، فضاء، ظلام، كواكب، الفلك، اتساع
tornado | الإعصار | رياح، عاصفة، دمار، سحاب، دوران، الخطر
fog | الضباب | رؤية، برودة، صباح، سحاب، رطوبة، طريق

# ── حيوانات ───────────────────────────────────────────────────────────────
cat face | القط | مواء، فراء، الذيل، حليب، أليف، مخالب
dog face | الكلب | نباح، وفاء، حراسة، أليف، الذيل، عظام
lion | الأسد | زئير، غابة، الملك، لبوة، فريسة، شجاعة
tiger | النمر | مخطط، غابة، سرعة، مفترس، فراء، مخالب
horse | الحصان | السرج، سباق، صهيل، فروسية، حافر، ركوب
camel | الجمل | صحراء، سنام، قافلة، الصبر، حليب، رحال
elephant | الفيل | خرطوم، الضخم، أنياب، أدغال، أذنان، ذاكرة
monkey | القرد | الموز، تسلق، أشجار، ذكاء، الذيل، غابة
bear | الدب | العسل، غابة، فراء، شتاء، الضخم، مخالب
panda | الباندا | بامبو، الصين، أبيض، أسود، كسول، نادر
rabbit face | الأرنب | الجزر، القفز، أذنان، سرعة، فراء، الجحر
fox | الثعلب | ذكاء، المكر، الذيل، غابة، أحمر، دجاج
wolf | الذئب | عواء، قطيع، غابة، مفترس، الليل، أنياب
ewe | الخروف | الصوف، الرعي، حليب، قطيع، العيد، ثغاء
goat | الماعز | حليب، قرون، جبال، الرعي، الجبن، قطيع
cow face | البقرة | حليب، مرعى، الجبن، قرون، زبدة، خوار
pig face | الخنزير | مزرعة، الطين، وردي، الأنف، سمين، الذيل
rooster | الديك | صياح، الفجر، العرف، مزرعة، الريش، دجاج
duck | البطة | بركة، سباحة، الريش، منقار، البط، صفير
eagle | النسر | جناح، تحليق، منقار، جبال، الحدة، الصيد
owl | البومة | الليل، حكمة، شجرة، عيون، الريش، الصيد
penguin | البطريق | جليد، سباحة، أسود، القطب، برودة، السمك
dolphin | الدلفين | البحر، ذكاء، القفز، سباحة، أسماك، رمادي
whale | الحوت | محيط، الضخم، نفاث، سباحة، أزرق، بحار
shark | القرش | أسنان، البحر، مفترس، زعنفة، سرعة، الخطر
fish | السمكة | البحر، زعانف، سباحة، شباك، الصيد، حراشف
octopus | الأخطبوط | أذرع، البحر، الحبر، ثمانية، رخوي، أعماق
crab | السرطان | صدفة، البحر، كماشة، شاطئ، جانبي، رمال
snail | الحلزون | بطيء، صدفة، قرون، رطوبة، حديقة، لعاب
butterfly | الفراشة | أجنحة، ألوان، زهور، ربيع، يرقة، طيران
honeybee | النحلة | العسل، خلية، أزهار، لسعة، ملكة، طنين
ant | النملة | مستعمرة، العمل، نظام، ملكة، صغيرة، تعاون
spider | العنكبوت | خيوط، نسيج، ثمان، الصيد، زاوية، حشرات
scorpion | العقرب | السم، صحراء، الذيل، لسعة، الليل، الخطر
snake | الأفعى | السم، الزحف، حراشف، لدغة، صحراء، التواء
turtle | السلحفاة | الدرع، البطء، البحر، الصبر، البيض، شاطئ
crocodile | التمساح | النهر، أسنان، زواحف، مفترس، الجلد، سباحة
frog | الضفدع | بركة، نقيق، القفز، أخضر، الماء، حشرات
dragon | التنين | النار، أسطورة، أجنحة، حراشف، خرافة، شجاعة
T-Rex | الديناصور | انقراض، الضخم، أسنان، أحافير، قديم، زواحف
giraffe | الزرافة | رقبة، البقع، طويلة، أشجار، أدغال، أوراق
zebra | الحمار الوحشي | خطوط، أبيض، أسود، سهول، الركض، قطيع
deer | الغزال | قرون، سرعة، غابة، رشاقة، العشب، الصيد
kangaroo | الكنغر | القفز، الجيب، الذيل، أستراليا، صغير، الركض
koala | الكوالا | أشجار، النوم، أستراليا، أوراق، رمادي، كسول
hedgehog | القنفذ | أشواك، الليل، حشرات، تكور، صغير، حديقة
bat | الخفاش | الليل، الكهف، أجنحة، الصدى، مقلوب، ظلام
mouse face | الفأر | الجبن، الجحر، الذيل، القضم، صغير، سريع
chipmunk | السنجاب | الجوز، أشجار، الذيل، القفز، تخزين، غابة
parrot | الببغاء | ألوان، تقليد، منقار، أدغال، كلام، الريش
peacock | الطاووس | الريش، ألوان، الذيل، جمال، اختيال، طائر
swan | البجعة | بحيرة، بياض، رقبة، رشاقة، سباحة، الريش
flamingo | النحام | وردي، الساق، بحيرة، رشاقة، الريش، وقوف
shrimp | الروبيان | البحر، قشريات، الصيد، طعام، وردي، صغير
jellyfish | قنديل البحر | لسعة، شفاف، البحر، انجراف، هلام، مجسات
seal | الفقمة | البحر، جليد، سباحة، أسماك، الشحم، شواطئ
otter | القضاعة | النهر، سباحة، أسماك، فراء، اللعب، الذيل
sloth | الكسلان | البطء، أشجار، النوم، مخالب، أدغال، تعلق
llama | اللاما | الصوف، جبال، الرعي، الحمل، رقبة، البصق
hippopotamus | فرس النهر | النهر، الضخم، الطين، الفم، أسنان، سباحة
rhinoceros | وحيد القرن | القرن، الجلد، الضخم، سهول، العشب، نادر
leopard | الفهد | البقع، سرعة، مفترس، أشجار، الصيد، مخالب

# ── طعام وشراب ────────────────────────────────────────────────────────────
red apple | التفاحة | فاكهة، أحمر، عصير، بذور، شجرة، الصحة
banana | الموزة | فاكهة، أصفر، قشرة، طاقة، القرد، مزرعة
grapes | العنب | عناقيد، زبيب، كروم، عصير، حلاوة، خريف
tangerine | البرتقالة | عصير، فيتامين، قشرة، فصوص، شتاء، حمضيات
lemon | الليمون | حموضة، عصير، أصفر، الشاي، سلطة، فيتامين
watermelon | البطيخ | الصيف، أحمر، بذور، عصير، برودة، حلاوة
strawberry | الفراولة | أحمر، حلوى، عصير، ربيع، رائحة، مربى
cherries | الكرز | أحمر، نواة، الصيف، حلوى، شجرة، مربى
peach | الخوخ | فاكهة، نواة، الصيف، عصير، حلاوة، شجرة
pear | الكمثرى | فاكهة، أخضر، عصير، حلاوة، شجرة، خريف
pineapple | الأناناس | استوائي، عصير، الشوك، حلاوة، تقطيع، الصيف
mango | المانجو | استوائي، عصير، أصفر، نواة، حلاوة، الصيف
coconut | جوز الهند | حليب، قشرة، نخيل، استوائي، الزيت، شاطئ
avocado | الأفوكادو | دهون، أخضر، نواة، سلطة، الصحة، الدهن
tomato | الطماطم | سلطة، أحمر، صلصة، عصير، خضار، الطبخ
eggplant | الباذنجان | خضار، بنفسجي، مقلي، الطبخ، مقبلات، الحشو
carrot | الجزر | برتقالي، أرنب، سلطة، عصير، جذور، البصر
ear of corn | الذرة | أصفر، فشار، حقول، حبوب، شواء، طحين
potato | البطاطا | مقلي، درنة، الطبخ، النشا، سلطة، حساء
onion | البصل | دموع، الطبخ، طبقات، رائحة، سلطة، تقطيع
garlic | الثوم | رائحة، فصوص، الطبخ، الصحة، أبيض، توابل
cucumber | الخيار | سلطة، أخضر، برودة، مخلل، الماء، الصيف
